instruction         T           N
JB0HI               0000        0000
0x0000              0000        0000
JB0LO               0000        0000
0x0002              0000        0000
SFETCH              003b        0000
digstore            003b        0000
JB0HI               003b        0000
0x0006              003b        0000
JB0LO               003b        0000
0x0008              003b        0000
twotimes            0076        0000
DUP                 0076        0076
twotimes            00ec        0076
twotimes            01d8        0076
plus                024e        0076
digstore            024e        0076
JMP                 024e        0076
0x0000              024e        0076
0x0000              024e        0076
